,RT_l10,sd_RT,FC_l10,sd_FC,id,followers_count,friends_count,listed_count,favourites_count,statuses_count,class_fc,class_rt
0,2.4,3.9293765408777004,15.5,32.022648235272484,756431.0,19645.0,949.0,662.0,12334.0,55829.0,0.0,0.0
1,0.2,0.6000000000000001,0.8,0.9797958971132712,1622441.0,4221.0,281.0,340.0,587.0,13650.0,0.0,0.0
2,17.9,13.626811806141596,37.2,40.93116172306865,1770311.0,1133925.0,1.0,9745.0,16.0,65228.0,1.0,1.0
3,0.4,0.4898979485566356,1.7,3.7960505792204615,2107671.0,5386.0,3861.0,304.0,15325.0,85493.0,0.0,0.0
4,2.3,5.21632054229799,3.4,6.545227268781428,3127331.0,1072.0,433.0,101.0,899.0,19893.0,0.0,0.0
5,8.4,16.805951326836574,76.1,127.66867274315966,4869021.0,24075.0,100.0,96.0,20991.0,10496.0,1.0,0.0
6,0.1,0.30000000000000004,0.4,0.4898979485566357,5254511.0,1100.0,210.0,132.0,522.0,4563.0,0.0,0.0
7,20.7,52.43100227918593,49.7,98.77757842749537,5380442.0,17967.0,657.0,330.0,10178.0,56196.0,1.0,0.0
8,1.0,1.7888543819998317,3.8,5.2497618993626745,5793762.0,7468.0,798.0,232.0,16528.0,64528.0,0.0,0.0
9,1.5,1.857417562100671,14.1,21.21532464988457,6709582.0,3587.0,1465.0,273.0,8470.0,12345.0,0.0,0.0
10,329.4,506.54362102389564,1558.3,2046.5078084385605,6809022.0,3594301.0,2112.0,13013.0,550.0,13232.0,2.0,3.0
11,1.2,1.8867962264113207,5.4,9.624967532412773,7139182.0,10377.0,1905.0,1181.0,9276.0,92970.0,0.0,0.0
12,0.0,0.0,0.2,0.4000000000000001,7936982.0,13357.0,1803.0,275.0,8677.0,9004.0,0.0,0.0
13,239.3,231.19733995009545,259.3,257.8992245044564,7996082.0,6709457.0,776.0,55889.0,1471.0,444405.0,1.0,2.0
14,8.5,6.5,35.8,25.549168283918753,7996522.0,2436212.0,749.0,12100.0,10282.0,284848.0,1.0,1.0
15,0.6,0.916515138991168,2.1,1.8681541692269408,8302582.0,9333.0,2292.0,644.0,2723.0,39649.0,0.0,0.0
16,9.5,6.453681120105021,16.1,11.246777316191515,8310642.0,13579.0,4940.0,333.0,249.0,61404.0,1.0,1.0
17,0.3,0.6403124237432849,1.3,2.3685438564654024,8932752.0,282.0,1343.0,5.0,4356.0,1479.0,0.0,0.0
18,95.2,250.18625062141206,107.9,276.28335092799205,9706822.0,352208.0,148.0,3080.0,475.0,153572.0,0.0,0.0
19,0.0,0.0,0.9,0.5385164807134504,10361342.0,34592.0,940.0,1044.0,30842.0,59393.0,0.0,0.0
20,0.6,1.2806248474865698,4.2,7.110555533852471,10637592.0,7093.0,923.0,240.0,167124.0,202600.0,0.0,0.0
21,0.2,0.4000000000000001,1.1,1.3747727084867518,10939322.0,2401.0,1362.0,137.0,6845.0,17777.0,0.0,0.0
22,0.2,0.6000000000000001,1.9,1.4456832294800959,10967182.0,5891.0,1425.0,360.0,9282.0,39082.0,0.0,0.0
23,9.7,7.9,23.8,16.648123017325407,11761292.0,881921.0,19.0,10223.0,28.0,48762.0,1.0,1.0
24,246.5,441.46738271360437,489.7,867.909678480428,11904592.0,1029023.0,1182.0,6302.0,442.0,56493.0,3.0,4.0
25,0.0,0.0,0.2,0.4000000000000001,12362582.0,6787.0,536.0,332.0,50708.0,149361.0,0.0,0.0
26,0.2,0.6000000000000001,0.4,0.916515138991168,12479062.0,9469.0,1034.0,379.0,16498.0,51678.0,0.0,0.0
27,1.9,3.3,2.5,2.5,12835712.0,6861.0,4931.0,601.0,21307.0,63362.0,0.0,0.0
28,531.4,1351.029548159477,1511.4,3573.4456257231623,13426312.0,3374886.0,833.0,15659.0,3955.0,26924.0,2.0,2.0
29,0.1,0.30000000000000004,4.1,8.443340571124677,14104488.0,5379.0,397.0,152.0,9751.0,67519.0,0.0,0.0
30,0.2,0.4000000000000001,2.5,3.442382895611701,14206520.0,297.0,190.0,9.0,6257.0,28572.0,0.0,0.0
31,2.3,2.6476404589747453,3.0,5.882176467941099,14225088.0,113841.0,495.0,1366.0,955.0,187978.0,0.0,0.0
32,86.6,144.0494359586319,600.6,1047.5448630011033,14306573.0,2468641.0,305.0,9504.0,154.0,16559.0,2.0,0.0
33,24.7,27.162658190979762,23.8,13.219682295728592,14436030.0,3186588.0,1355.0,29562.0,2724.0,208172.0,1.0,0.0
34,209.3,194.57443305840567,224.5,196.39513741434638,14436317.0,902086.0,5423.0,11977.0,3132.0,71827.0,2.0,3.0
35,1.2,1.3266499161421599,4.4,3.3823069050575527,14549442.0,14182.0,1340.0,871.0,4588.0,90393.0,0.0,0.0
36,3.3,2.1,5.6,3.5832945734337835,14662589.0,21468.0,3938.0,869.0,2532.0,11370.0,0.0,0.0
37,0.0,0.0,0.1,0.30000000000000004,14671522.0,394.0,354.0,24.0,4970.0,4955.0,0.0,0.0
38,44.5,55.726564580996744,333.3,245.10081599211372,14727959.0,5653626.0,75.0,10750.0,27.0,88754.0,2.0,2.0
39,367.4,264.42095227118443,3130.6,2015.4632817295385,14872237.0,31061333.0,55.0,41924.0,23.0,64131.0,4.0,4.0
40,0.2,0.6000000000000001,2.0,2.1447610589527217,14922303.0,520.0,449.0,89.0,4568.0,11901.0,0.0,0.0
41,16.6,11.137324633860683,79.2,38.47024824458506,15095537.0,4873950.0,1569.0,21518.0,1317.0,321837.0,1.0,1.0
42,0.0,0.0,0.2,0.4000000000000001,15287119.0,466977.0,219.0,1356.0,2665.0,43296.0,0.0,0.0
