,RT_l10,sd_RT,FC_l10,sd_FC,FC,RT,protected,followers_count,friends_count,listed_count,favourites_count,statuses_count
0,0.4,0.4898979485566356,1.7,3.7960505792204615,0.0,0.0,0.0,5386.0,3861.0,304.0,15325.0,85493.0
1,8.4,16.805951326836574,76.1,127.66867274315966,25.0,3.0,0.0,24075.0,100.0,96.0,20991.0,10496.0
2,0.2,0.4000000000000001,2.5,3.442382895611701,0.0,0.0,0.0,297.0,190.0,9.0,6257.0,28572.0
3,0.0,0.0,0.3,0.4582575694955841,0.0,0.0,0.0,557.0,650.0,19.0,6218.0,5983.0
4,3.6,6.711184694225006,2.8,5.015974481593781,0.0,1.0,0.0,54626.0,4640.0,1646.0,405.0,70865.0
5,0.1,0.30000000000000004,0.7,0.7810249675906655,0.0,0.0,0.0,724.0,290.0,56.0,2483.0,61124.0
6,0.1,0.30000000000000004,0.5,0.6708203932499369,0.0,0.0,0.0,710.0,1140.0,2.0,9774.0,6902.0
7,0.8,1.2489995996796797,4.5,6.917369442208504,1.0,0.0,0.0,3965.0,2534.0,132.0,7022.0,19898.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,55.0,59.0,0.0,219212.0
9,1.1,1.044030650891055,1.1,1.1357816691600546,4.0,3.0,0.0,5276.0,575.0,153.0,4028.0,20389.0
10,0.3,0.6403124237432848,1.8,2.3151673805580453,2.0,0.0,0.0,144.0,410.0,30.0,317.0,4192.0
11,0.0,0.0,1.1,1.1357816691600549,2.0,0.0,0.0,404.0,1287.0,16.0,3571.0,32076.0
12,0.3,0.4582575694955841,0.5,0.6708203932499369,1.0,0.0,0.0,819.0,1019.0,13.0,465.0,31487.0
13,0.1,0.30000000000000004,1.3,1.5524174696260025,1.0,0.0,0.0,12154.0,410.0,179.0,25.0,154994.0
14,0.2,0.4000000000000001,1.7,1.5524174696260022,6.0,0.0,0.0,1704.0,556.0,46.0,20135.0,10569.0
15,1.8,0.8717797887081348,2.6,1.7435595774162695,2.0,0.0,0.0,3637.0,1014.0,21.0,561.0,1065.0
16,0.1,0.30000000000000004,1.2,1.6613247725836149,0.0,0.0,0.0,1484.0,1450.0,7.0,13485.0,42747.0
17,0.0,0.0,0.3,0.4582575694955841,1.0,0.0,0.0,97.0,314.0,1.0,5922.0,5814.0
18,0.0,0.0,0.7,0.7810249675906655,2.0,0.0,0.0,402.0,305.0,6.0,11167.0,9156.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,2459.0,2.0,14.0,1901.0
20,0.0,0.0,0.4,0.6633249580710799,0.0,0.0,0.0,222.0,500.0,23.0,1981.0,8637.0
21,0.0,0.0,0.4,0.4898979485566357,0.0,0.0,0.0,238.0,295.0,19.0,1697.0,15095.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,858.0,6.0,5345.0,29629.0
23,0.2,0.4000000000000001,0.8,0.8717797887081348,0.0,0.0,0.0,2844.0,1181.0,137.0,9924.0,37187.0
24,0.0,0.0,0.5,0.5,3.0,0.0,0.0,368.0,455.0,0.0,16836.0,17387.0
25,0.2,0.4000000000000001,1.1,1.044030650891055,3.0,0.0,0.0,311.0,225.0,43.0,1440.0,3673.0
26,0.0,0.0,4.4,4.004996878900156,8.0,0.0,0.0,6271.0,389.0,20.0,4112.0,26715.0
27,0.0,0.0,0.2,0.4,0.0,0.0,0.0,92.0,246.0,1.0,1247.0,1174.0
28,1.2,2.1354156504062622,4.1,6.456779382943171,4.0,1.0,0.0,2058.0,1035.0,19.0,71571.0,151421.0
29,0.1,0.30000000000000004,0.2,0.4000000000000001,1.0,0.0,0.0,114.0,92.0,2.0,427.0,3256.0
30,0.4,0.6633249580710799,2.7,3.318132004607412,6.0,1.0,0.0,12867.0,275.0,89.0,240.0,5355.0
31,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,4351.0,815.0,125.0,476.0,10845.0
32,0.0,0.0,1.2,1.469693845669907,21.0,2.0,0.0,552.0,587.0,1.0,31824.0,17879.0
33,1.9,3.2388269481403293,4.7,7.1000000000000005,0.0,0.0,0.0,3456.0,1083.0,150.0,549.0,9759.0
34,0.2,0.4000000000000001,1.5,1.5,0.0,0.0,0.0,384.0,248.0,8.0,20487.0,45521.0
35,0.0,0.0,0.5,0.6708203932499369,1.0,1.0,0.0,3004.0,2562.0,8.0,4468.0,7636.0
36,0.1,0.30000000000000004,0.7,0.6403124237432849,0.0,0.0,0.0,2224.0,2041.0,39.0,38083.0,140937.0
37,5.5,8.040522371090077,17.4,24.071559982684967,5.0,1.0,0.0,4124.0,2438.0,57.0,31252.0,35531.0
38,0.0,0.0,1.2,1.4,1.0,0.0,0.0,698.0,1647.0,2.0,7419.0,19540.0
39,5.8,4.422668877499197,15.7,13.031116606031887,12.0,4.0,0.0,20705.0,478.0,352.0,6281.0,47224.0
40,0.2,0.6000000000000001,0.7,0.6403124237432849,14.0,0.0,0.0,109.0,411.0,1.0,4149.0,3509.0
41,0.3,0.6403124237432849,1.2,3.2802438933713454,1.0,0.0,0.0,577.0,783.0,10.0,1947.0,25783.0
42,0.4,0.916515138991168,7.5,11.603878661895774,2.0,0.0,0.0,5914.0,4929.0,83.0,55357.0,17384.0
43,0.4,0.916515138991168,1.6,4.1521078984053394,0.0,0.0,0.0,1652.0,3806.0,36.0,5092.0,25332.0
44,0.2,0.4000000000000001,0.1,0.30000000000000004,0.0,0.0,0.0,168.0,637.0,2.0,8961.0,6027.0
45,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,3091.0,3202.0,59.0,5780.0,275233.0
46,0.9,1.7578395831246945,4.3,9.633794683301069,0.0,0.0,0.0,875.0,941.0,6.0,34560.0,13294.0
47,0.3,0.4582575694955841,1.0,0.8944271909999159,0.0,0.0,0.0,168.0,454.0,2.0,74.0,414.0
48,0.1,0.30000000000000004,0.1,0.30000000000000004,0.0,0.0,0.0,1508.0,620.0,62.0,39.0,8205.0
49,0.1,0.30000000000000004,0.3,0.458257569495584,0.0,0.0,0.0,652.0,616.0,4.0,8870.0,7901.0
50,0.0,0.0,1.7,0.6403124237432849,0.0,0.0,0.0,2517.0,3459.0,59.0,5155.0,17081.0
51,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,0.0,317.0,507.0,45.0,2712.0,11590.0
52,0.4,0.916515138991168,0.7,1.1874342087037917,1.0,2.0,0.0,1819.0,1172.0,143.0,119.0,14194.0
53,0.3,0.6403124237432848,1.0,1.7320508075688772,0.0,0.0,0.0,29492.0,238.0,414.0,11884.0,58395.0
54,0.9,2.7,0.8,2.08806130178211,0.0,0.0,0.0,722.0,540.0,28.0,2212.0,59791.0
55,0.1,0.30000000000000004,0.6,0.6633249580710799,0.0,1.0,0.0,394.0,741.0,6.0,4132.0,15271.0
56,0.6,1.0198039027185568,2.9,2.773084924772409,1.0,0.0,0.0,963.0,501.0,16.0,22272.0,63002.0
57,0.5,0.9219544457292888,1.0,1.1832159566199232,1.0,0.0,0.0,478.0,379.0,0.0,12837.0,18965.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,304.0,10.0,12.0,37250.0
59,0.1,0.30000000000000004,0.7,0.6403124237432849,0.0,0.0,0.0,441.0,432.0,2.0,3926.0,8689.0
60,0.5,0.9219544457292888,3.9,5.838664230798,49.0,9.0,0.0,1135.0,674.0,35.0,24768.0,24305.0
61,0.3,0.9,2.5,3.956008088970497,1.0,0.0,0.0,154.0,884.0,1.0,287.0,4048.0
62,0.4,0.6633249580710799,2.6,2.374868417407584,1.0,0.0,0.0,3205.0,880.0,25.0,86935.0,41077.0
63,0.2,0.4000000000000001,1.6,2.576819745345025,1.0,0.0,0.0,66.0,571.0,2.0,2262.0,2802.0
64,0.1,0.30000000000000004,0.6,0.6633249580710799,0.0,0.0,0.0,33.0,95.0,1.0,837.0,625.0
65,1.1,1.757839583124695,3.3,4.539823785126465,11.0,0.0,0.0,1238.0,382.0,10.0,1743.0,6042.0
66,0.1,0.30000000000000004,0.2,0.4000000000000001,0.0,0.0,0.0,1781.0,255.0,46.0,164.0,7120.0
67,1.3,2.3685438564654024,2.0,4.494441010848846,5.0,1.0,0.0,676.0,287.0,2.0,5516.0,34689.0
68,0.0,0.0,0.6,0.4898979485566357,1.0,0.0,0.0,1010.0,1037.0,32.0,5.0,2661.0
69,0.8,1.5362291495737217,3.0,3.40587727318528,1.0,0.0,0.0,265.0,352.0,2.0,2591.0,10480.0
70,0.7,0.7810249675906655,0.5,0.5,0.0,0.0,0.0,8796.0,4939.0,256.0,582.0,18791.0
71,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,312.0,150.0,5.0,91.0,1025.0
72,0.0,0.0,0.6,0.916515138991168,1.0,0.0,0.0,534.0,415.0,2.0,8078.0,30210.0
73,0.0,0.0,1.4,2.690724809414742,0.0,0.0,0.0,305.0,92.0,11.0,6512.0,22466.0
74,6.5,5.643580423808984,10.3,7.403377607551839,6.0,4.0,0.0,3419.0,651.0,117.0,2807.0,6656.0
75,0.1,0.30000000000000004,0.9,0.9433981132056604,0.0,0.0,0.0,193.0,45.0,1.0,5427.0,6588.0
76,0.3,0.6403124237432849,1.8,2.8913664589601917,3.0,2.0,0.0,741.0,530.0,2.0,4720.0,16891.0
77,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,916.0,374.0,69.0,137.0,8252.0
78,0.5,0.9219544457292888,0.8,0.9797958971132712,0.0,0.0,0.0,617.0,549.0,14.0,18064.0,25441.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,1623.0,0.0,2618.0,6907.0
80,0.3,0.458257569495584,0.6,0.4898979485566356,0.0,0.0,0.0,66.0,189.0,4.0,42.0,263.0
81,1.4,1.8547236990991405,6.0,4.449719092257398,13.0,2.0,0.0,3537.0,143.0,46.0,4400.0,3962.0
82,0.7,2.1,1.6,3.2310988842807027,0.0,0.0,0.0,326.0,283.0,3.0,2924.0,8473.0
83,0.1,0.30000000000000004,0.7,1.2688577540449522,0.0,0.0,0.0,444.0,104.0,3.0,6602.0,21168.0
84,0.0,0.0,0.6,0.6633249580710799,6.0,1.0,0.0,1465.0,4747.0,5.0,8356.0,7520.0
85,1.7,2.238302928559939,4.6,9.941830817309254,2.0,1.0,0.0,1244.0,1275.0,42.0,2631.0,2413.0
86,1.6,1.4282856857085702,4.1,3.672873534441392,0.0,0.0,0.0,526.0,472.0,0.0,2278.0,5505.0
87,2.0,1.6733200530681511,2.8,3.218695387886216,0.0,0.0,0.0,1584.0,604.0,42.0,16023.0,392307.0
88,0.4,0.916515138991168,0.5,0.5,2.0,11.0,0.0,985.0,737.0,0.0,6639.0,14265.0
89,0.1,0.30000000000000004,0.6,0.916515138991168,0.0,0.0,0.0,377.0,238.0,3.0,5028.0,24101.0
90,0.2,0.4,3.3,5.386093203798091,0.0,0.0,0.0,261.0,480.0,2.0,27163.0,17717.0
91,0.1,0.30000000000000004,0.9,0.7,0.0,0.0,0.0,8684.0,292.0,165.0,30262.0,34938.0
92,0.9,1.044030650891055,2.8,3.0919249667480613,0.0,0.0,0.0,4036.0,3324.0,12.0,27310.0,46770.0
93,0.0,0.0,0.1,0.30000000000000004,2.0,2.0,0.0,37995.0,1481.0,48.0,10.0,5209.0
94,0.2,0.4000000000000001,1.9,1.8681541692269408,3.0,1.0,0.0,3801.0,452.0,458.0,247616.0,81428.0
95,0.0,0.0,0.3,0.9000000000000001,0.0,0.0,0.0,329.0,1462.0,3.0,1759.0,5947.0
96,0.1,0.30000000000000004,1.3,1.6763054614240211,0.0,0.0,0.0,540.0,238.0,16.0,407.0,2572.0
97,0.6,0.8,4.8,6.446704584514477,0.0,0.0,0.0,381.0,896.0,4.0,14277.0,9543.0
98,0.1,0.30000000000000004,0.6,0.6633249580710799,0.0,0.0,0.0,537.0,313.0,2.0,1887.0,4241.0
99,0.4,0.6633249580710799,0.8,0.7483314773547883,0.0,0.0,0.0,3711.0,2106.0,168.0,26588.0,63308.0
100,0.7,2.1000000000000005,2.5,3.52845575287547,0.0,0.0,0.0,575.0,337.0,7.0,2414.0,32201.0
101,5.6,8.296987405076615,6.1,5.5217750769114105,8.0,11.0,0.0,4760.0,2133.0,42.0,31936.0,23410.0
102,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,21.0,119.0,0.0,95.0,306.0
103,0.5,0.6708203932499369,0.8,0.8717797887081348,3.0,3.0,0.0,10367.0,662.0,186.0,303.0,88528.0
104,1.0,1.7888543819998317,1.5,2.29128784747792,1.0,1.0,0.0,1883.0,1843.0,9.0,30459.0,25776.0
105,0.6,0.916515138991168,1.7,3.5510561809129415,1.0,0.0,0.0,1599.0,2071.0,23.0,14635.0,49340.0
106,0.1,0.30000000000000004,1.0,1.0,0.0,1.0,0.0,6649.0,731.0,153.0,1620.0,35986.0
107,0.1,0.30000000000000004,0.4,0.4898979485566357,0.0,0.0,0.0,15.0,67.0,0.0,202.0,933.0
108,243.2,308.6725773372166,353.3,395.2978750259101,3.0,1.0,0.0,58540.0,682.0,303.0,166191.0,8005.0
109,0.9,2.071231517720798,3.6,7.525955088890711,1.0,0.0,0.0,302.0,788.0,2.0,4167.0,1566.0
110,0.1,0.30000000000000004,0.7,0.9,0.0,0.0,0.0,307.0,344.0,7.0,26232.0,32987.0
111,0.0,0.0,0.3,0.458257569495584,1.0,0.0,0.0,28.0,101.0,0.0,443.0,336.0
112,0.5,1.5,7.2,17.605680901345448,0.0,0.0,0.0,3106.0,1008.0,21.0,207816.0,41756.0
113,0.0,0.0,0.8,0.8717797887081349,2.0,0.0,0.0,156.0,314.0,1.0,15474.0,11528.0
114,1.1,1.8138357147217052,5.1,6.28410693734599,18.0,4.0,0.0,7162.0,334.0,92.0,2804.0,8466.0
115,0.0,0.0,1.2,1.7204650534085253,2.0,1.0,0.0,505.0,444.0,1.0,5337.0,16126.0
116,2.3,2.5709920264364885,2.6,2.6907248094147422,1.0,1.0,0.0,13129.0,1207.0,121.0,13658.0,46528.0
117,0.0,0.0,0.3,0.4582575694955841,0.0,0.0,0.0,369.0,147.0,11.0,31016.0,24566.0
118,0.5,0.9219544457292888,1.5,1.284523257866513,0.0,0.0,0.0,427.0,900.0,3.0,25173.0,11891.0
119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,112.0,0.0,148.0,343.0
120,0.0,0.0,0.3,0.9,0.0,0.0,0.0,10.0,59.0,0.0,82.0,43.0
121,0.4,1.2000000000000002,0.4,0.4898979485566356,0.0,0.0,0.0,453.0,385.0,0.0,1989.0,17993.0
122,0.3,0.4582575694955841,2.1,4.678675026115834,1.0,0.0,0.0,767.0,1600.0,15.0,26800.0,32677.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5526.0,626.0,23.0,56477.0,66437.0
124,0.0,0.0,0.9,1.044030650891055,0.0,0.0,0.0,15.0,215.0,1.0,250.0,375.0
125,279.9,208.37391871345127,542.4,396.75287018495527,119.0,67.0,0.0,90497.0,66900.0,131.0,156.0,184.0
126,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,0.0,589.0,158.0,4.0,4459.0,15570.0
127,0.1,0.30000000000000004,0.6,0.6633249580710799,1.0,1.0,0.0,69.0,62.0,0.0,575.0,41.0
128,0.4,0.916515138991168,1.8,1.7204650534085255,0.0,0.0,0.0,259.0,622.0,1.0,14873.0,10812.0
129,0.1,0.30000000000000004,0.3,0.458257569495584,0.0,0.0,0.0,503.0,303.0,19.0,37.0,3868.0
130,0.0,0.0,0.8,0.9797958971132712,0.0,0.0,0.0,6548.0,141.0,3.0,23014.0,2014.0
131,0.0,0.0,1.4,1.2806248474865698,1.0,0.0,0.0,479.0,132.0,6.0,914.0,1765.0
132,0.6,0.6633249580710799,1.9,1.4456832294800959,3.0,1.0,0.0,341.0,596.0,12.0,201.0,221.0
133,0.5,0.8062257748298549,0.8,0.8717797887081348,0.0,0.0,0.0,60.0,52.0,0.0,375.0,9698.0
134,0.0,0.0,0.3,0.4582575694955841,0.0,0.0,0.0,113.0,60.0,3.0,14916.0,12575.0
135,0.1,0.30000000000000004,2.7,2.0024984394500787,6.0,4.0,0.0,3517.0,2999.0,16.0,17656.0,25120.0
136,0.2,0.4,0.5,0.5,0.0,0.0,0.0,553.0,589.0,9.0,864.0,1832.0
137,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,9.0,6.0,0.0,48.0,26.0
138,0.3,0.6403124237432848,2.2,2.08806130178211,3.0,0.0,0.0,664.0,508.0,5.0,37598.0,24172.0
139,2.5,4.652956049652738,4.9,5.356304696336832,2.0,0.0,0.0,442.0,396.0,0.0,9344.0,10445.0
140,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,0.0,323.0,896.0,3.0,11689.0,3354.0
141,6.4,10.041912168506554,17.0,27.07397274136177,13.0,1.0,0.0,5831.0,385.0,54.0,16506.0,24627.0
142,0.2,0.4000000000000001,1.0,1.7320508075688772,3.0,0.0,0.0,38.0,224.0,0.0,2104.0,878.0
143,0.4,0.4898979485566356,4.6,5.3516352641038605,1.0,0.0,0.0,469.0,416.0,0.0,281.0,244.0
144,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,9.0,90.0,1.0,29.0,517.0
145,0.2,0.6000000000000001,1.1,2.7,0.0,0.0,0.0,204.0,165.0,1.0,21073.0,10069.0
146,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,0.0,76.0,44.0,84.0,5.0,14995.0
147,2.0,3.2557641192199416,5.4,9.340235543068497,4.0,1.0,0.0,930.0,643.0,17.0,1352.0,2066.0
148,507.7,1080.1262009598693,831.8,1778.543325308664,251.0,115.0,0.0,19766.0,713.0,119.0,156.0,9655.0
149,31.7,10.080178569846863,37.4,12.737346662472527,33.0,50.0,0.0,5144.0,85.0,20.0,436.0,1619.0
150,0.0,0.0,1.5,0.6708203932499369,2.0,0.0,0.0,48.0,30.0,0.0,3244.0,3276.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,306.0,0.0,849.0,3614.0
152,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,45.0,313.0,0.0,10.0,3674.0
153,0.0,0.0,0.8,0.9797958971132712,1.0,0.0,0.0,87.0,180.0,1.0,10430.0,5089.0
154,0.0,0.0,1.8,2.2271057451320093,5.0,0.0,0.0,1550.0,521.0,17.0,38520.0,32960.0
155,0.0,0.0,1.0,0.4472135954999579,1.0,0.0,0.0,211.0,274.0,2.0,13729.0,7905.0
156,2.3,4.8590122453025355,21.4,39.71196293310115,0.0,0.0,0.0,6430.0,374.0,10.0,18348.0,12040.0
157,0.0,0.0,1.5,1.9104973174542799,0.0,0.0,0.0,32.0,46.0,1.0,3214.0,2418.0
158,27.5,33.06433123473088,67.9,63.27313806031751,3.0,0.0,0.0,21503.0,465.0,109.0,115749.0,78498.0
159,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,11.0,99.0,0.0,233.0,165.0
160,3.7,4.290687590584986,9.2,17.85945127936466,5.0,2.0,0.0,2176.0,636.0,34.0,2258.0,1668.0
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,189.0,0.0,6.0,2645.0
162,1.1,1.8138357147217052,7.2,9.47417542586161,0.0,0.0,0.0,47.0,28.0,2.0,817.0,880.0
163,0.3,0.6403124237432848,0.6,1.0198039027185568,2.0,0.0,0.0,50.0,199.0,0.0,118.0,219.0
164,0.8,2.08806130178211,4.3,8.000624975587844,1.0,0.0,0.0,413.0,189.0,5.0,2358.0,1997.0
165,0.4,0.4898979485566357,2.5,1.4317821063276353,1.0,0.0,0.0,151.0,76.0,0.0,270.0,511.0
166,1.2,3.2802438933713454,1.7,2.5709920264364885,0.0,0.0,0.0,45.0,40.0,0.0,1258.0,839.0
167,0.1,0.30000000000000004,0.2,0.4,0.0,0.0,0.0,10.0,13.0,3.0,59.0,3278.0
168,0.0,0.0,0.6,0.6633249580710799,1.0,0.0,0.0,121.0,484.0,0.0,6742.0,4382.0
169,0.0,0.0,1.0,0.4472135954999579,0.0,0.0,0.0,23.0,5.0,0.0,174.0,187.0
170,0.0,0.0,0.8,0.7483314773547883,2.0,0.0,0.0,68.0,176.0,0.0,1203.0,909.0
171,0.3,0.9000000000000001,0.6,0.916515138991168,0.0,0.0,0.0,85.0,233.0,0.0,11047.0,2165.0
172,0.2,0.4000000000000001,3.5,4.477722635447623,5.0,0.0,0.0,114.0,75.0,1.0,2712.0,3450.0
173,0.2,0.4000000000000001,0.5,0.5,2.0,1.0,0.0,74.0,60.0,2.0,17.0,4036.0
174,0.5,0.8062257748298549,1.4,1.9595917942265424,0.0,1.0,0.0,690.0,231.0,2.0,24355.0,11785.0
175,0.4,0.8000000000000002,1.6,2.3323807579381204,1.0,0.0,0.0,178.0,77.0,3.0,75.0,122.0
176,0.1,0.30000000000000004,0.1,0.30000000000000004,1.0,1.0,0.0,476.0,1609.0,0.0,6182.0,6975.0
177,0.5,0.6708203932499369,0.8,0.7483314773547883,0.0,1.0,0.0,745.0,295.0,0.0,4022.0,3644.0
178,1.3,1.7349351572897471,2.1,2.6248809496813377,1.0,0.0,0.0,71.0,89.0,0.0,122.0,169.0
179,0.0,0.0,1.7,0.8999999999999999,1.0,0.0,0.0,53.0,9.0,0.0,4729.0,3551.0
180,0.1,0.30000000000000004,1.0,1.7888543819998317,7.0,17.0,0.0,309.0,305.0,1.0,3502.0,6549.0
181,0.0,0.0,0.3,0.458257569495584,0.0,0.0,0.0,95.0,287.0,0.0,5688.0,3965.0
182,0.1,0.30000000000000004,0.9,1.8138357147217052,1.0,0.0,0.0,142.0,186.0,0.0,1481.0,2075.0
183,0.7,1.7916472867168916,5.6,5.695612346359257,9.0,0.0,0.0,105.0,27.0,0.0,465.0,1655.0
184,1.4,2.107130750570548,9.5,6.697014260101287,12.0,2.0,0.0,187.0,50.0,0.0,565.0,1790.0
185,0.9,2.3853720883753127,2.0,3.4641016151377544,1.0,0.0,0.0,49.0,137.0,0.0,135.0,121.0
