,Tweet,created_at,FC,RT,hashtags_text,user_mentions,urls,hour
0,Desde el #FCJumilla damos nuestra más sincera enhorabuena a dos enormes deportistas de la Región   🥇@alejanvalverde… https://t.co/XqLolr5sfl,2018-09-30 15:58:44,18,4,"["" 'FCJumilla'""]","[{'screen_name': 'alejanvalverde', 'name': 'alejandro valverde', 'id': 248879448, 'id_str': '248879448', 'indices': [100, 115]}]","[{'url': 'https://t.co/XqLolr5sfl', 'expanded_url': 'https://twitter.com/i/web/status/1046429145914384386', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",15.0
1,Me estoy volviendo loca hasta por cada una de sus pecas.,2018-09-24 03:05:47,0,0,0.0,[],[],3.0
2,🏟 | El #FCJumilla ya está en La Condomina   ⚽️ #UCAMMurciaJumilla  ⌚ 19.00h   #OrgulloVinícola ⚔ #VuelvenTusColores… https://t.co/1RLMpCm9bT,2018-09-30 15:38:18,4,2,"["" 'FCJumilla'""]",[],"[{'url': 'https://t.co/1RLMpCm9bT', 'expanded_url': 'https://twitter.com/i/web/status/1046424001214648320', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",15.0
3,"📹 | El vestuario del #FCJumilla en La Condomina   👌¡Cuidando cada detalle, @Pedrocc57C! 👏👏👏… https://t.co/GYXc4ymy2Y",2018-09-30 15:19:29,21,6,"["" 'FCJumilla'""]","[{'screen_name': 'Pedrocc57C', 'name': 'Utillero del Jumilla', 'id': 795882133, 'id_str': '795882133', 'indices': [75, 86]}]","[{'url': 'https://t.co/GYXc4ymy2Y', 'expanded_url': 'https://twitter.com/i/web/status/1046419267279818752', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [93, 116]}]",15.0
4,📑 Jornada 6 | El colegiado andaluz Guzmán Mansilla arbitrará el #UCAMMurciaJumilla  19.00h    #VuelvenTusColores⚪🔵🔥🔥,2018-09-30 15:10:30,0,0,"["" 'UCAMMurciaJumilla'""]",[],[],15.0
5,🚐 | La expedición ya está lista para poner rumbo a La Condomina    ⚽️ #UCAMMurciaJumilla  ⌚ 19.00h… https://t.co/8OZp2JLuRy,2018-09-30 15:08:54,10,2,"["" 'UCAMMurciaJumilla'""]",[],"[{'url': 'https://t.co/8OZp2JLuRy', 'expanded_url': 'https://twitter.com/i/web/status/1046416602739208193', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [100, 123]}]",15.0
6,"⏱ | FINAL   #FCJumillaB 1-1 @MulenoClubF   ⚽️ 1-0, Bily  Min.46  ⚪🔵 ⚽️ 1-1, Pablo Ruíz  Min.90    +1 ¡Vamos equipo!… https://t.co/084OXqPeNM",2018-09-30 10:18:26,2,0,"["" 'FCJumillaB'""]","[{'screen_name': 'MulenoClubF', 'name': 'MULEÑO C.F.', 'id': 991343808, 'id_str': '991343808', 'indices': [28, 40]}]","[{'url': 'https://t.co/084OXqPeNM', 'expanded_url': 'https://twitter.com/i/web/status/1046343505197641728', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",10.0
7,✋🏻⏱| DESCANSO   #FCJumillaB 0-0 @MulenoClubF   ¡Vamos equipo!  #OrgulloVinícola,2018-09-30 08:59:08,0,0,"["" 'FCJumillaB'""]","[{'screen_name': 'MulenoClubF', 'name': 'MULEÑO C.F.', 'id': 991343808, 'id_str': '991343808', 'indices': [32, 44]}]",[],8.0
8,🔊 VINÍCOLAS... 🔊  🔉 ¡¡El Filial también juega!! 🔉  ⚽️ vs @MulenoClubF ⌚ 10.00h  🏟 Municipal de Corvera… https://t.co/IaY99idRdI,2018-09-30 07:28:39,2,1,0.0,"[{'screen_name': 'MulenoClubF', 'name': 'MULEÑO C.F.', 'id': 991343808, 'id_str': '991343808', 'indices': [57, 69]}]","[{'url': 'https://t.co/IaY99idRdI', 'expanded_url': 'https://twitter.com/i/web/status/1046300776455458816', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",7.0
9,#CasadoDimisión,2018-09-27 21:34:23,0,0,"["" 'CasadoDimisión'""]",[],[],21.0
