,date,trending_topics
0,14/08/2013,
1,04/11/2014,
2,12/05/2015,"The Division,Paco Ureña,#LoMas40porLaTarde,Monty Williams,#candidatosCAIB,#belenjenal,Assassin's Creed,#RuidosMolestos,Sean Penn,#NadaMejorQue,Sam Smith,Le Mans,Katmandú,Montserrat Caballé,Dcode,#unadecimadesegundo,#AlbertRiveraEP,#MunicipalsBCN,#PrayForNepal,#FelizMartes,Tom Brady,Pierce,Copa América,Draymond Green,Yoko Ono,#camilabananaicecream,#AlaskaySegura11,#VisAVis4,#LQSA15,#DebateTM"
3,18/05/2015,
4,24/05/2015,
5,31/05/2015,"Enrique Iglesias,Higuaín,Nápoles,Bienvenido Junio,Superman,#elultimomono7,#ChesterCavadas,#holaberberecho,#CuartoMilenio,#DebateSV7,Keisse y Durbridge,Márquez,Clint Eastwood,#SeFuerteAdrian,#MotoGP,#NoelEstamosOrgullososDeTi,Artur Mas,#JackandJackEnCCME2015,Manos Limpias,#DiaMundialSinTabaco,Dj Coco,Estafermo,Los Mossos,Robespierre,Clint Eastwood,#GanasteMiOdioSi,#CarreraLiberty,#EstariaBuenoQue,#SabadoDeConfesarQue,#FelizDomingo"
6,08/06/2015,"La UDEF,Stannis,Kate Moss,Paco Bustos,Danny Ings,#PahExigeUCI,#ARVenezuela,#SusanaPresidenta,#DiaMundialdelosOceanos,#FelizLunes,Bogut,#elultimomono8,Stannis,#ChesterRuth,Speights,Mozgov,Klay Thompson,Piqué,#CuartoMilenio,#DebateSV8"
7,13/06/2015,"Irene Villa,#WarHorse,Las Palmas,Di María,#SabadoDeGanarSeguidores,Argentina,#L6Nmonedero,#ComentaParamount,Michael,#L6Nnuevosalcaldes,Rivillos,Benjamin,#LM24,#ULTRAKOREA,Badalona,#N1CanalFiesta24,Las Dos Torres,Manuela Carmena,#ColorPSOE,#AyuntamientosARV,Jurassic World,Gallardón,Noche 10,Bolivia,#ColorPSOE,Antonios y Antonias,#orianafalacia,#ComoOdioAEsosQue,#NoControlMusicVideo,#FelizSabado"
8,03/08/2015,"Thiago Silva,Calvin,James Hetfield,Toy Story 2,#FREEYUYEE,#insuperables5,Rocky Balboa,#JunquerasTV3,#SHESKINDAHOTMUSICVIDEO,#TheFlash9,Ifema,Larry,Briana,#Felices25Yanira,Kim Jong-Un,#ArturMasEnSotoDelReal,#YoPierdoLaPacienciaCuando,#GiraPlanetaAzul,Carmona,#PreguntasParaLaPrimeraCita,Pídeselo a Mariano,La Bolsa de Atenas,Juan Cotino,Más de 1,2,#PdVCataluña,#PensionistasEP,Teresa de Ávila y Cervantes,#Abengoa,#PreguntasParaLaPrimeraCita,#FelizLunes,Unión,Calleri,Boca,Michael Bay,Transformers,#3YearsOfTheVamps,#ElClubDeLaComedia,#cuartomilenio,#SHESKINDAHOTMUSICVIDEO,#PasaporteALaIsla3"
9,08/08/2015,"Kakuta,Cristóforo,Beto,Montero,#nuevapaula,#En3PalabrasTeDigoQue,#LaHoraMagica558,#TideNewCover,Chelsea,#L6Ncis,Interior,Eriksen,Rooney,The Tide,#FelizSabado,#EspañaReclamaFirmasWigetta,#En3PalabrasTeDigoQue,Premier,#MUFC,#TerralenCFR,Mati,Electra Heart,Este SABADO 8,Dani Jarque,#ImposibleOlvidar,#ROWYSODallas,#HappyBirthdayShawn,Chantel,#N1CanalFiesta32,#Pottertty"
10,09/08/2015,"Caicedo,Liverpool,#SoyLericanaPor,Coutinho,#ClubMediaFestEnEspaña,#LaHoraMagica559,#MotoGP,Ceballos,Gibraltar,#EstosolopasaconelPP,#ZetaFutbolResponde,Bora Bora,El Ghazi,Supercopas,#GraciasPorTantoLucia,Cine de Barrio,#QuieroAhoraMismo,Neymar,#UnMejorAmigoSiempre,#FelizDomingo,Mestalla,Premier,Tini NUESTRO MUNDO Stoessel,Wellington,Bielsa,#QuieroAhoraMismo,#letidrama,#L6Npizarrajc,#OTRABaltimore,#HarrySiPelaLaPatata"
